,name,price,asins,reviews.text
0,Microsoft Surface Pro 4 Type Cover with Fingerprint ID,5555,B0168YIWSI,"This keyboard is very easy to type on, but the fingerprint reader is the best feature. It is very accurate and simplifies login."
1,Boytone - 2500W 2.1-Ch. Home Theater System - Black Diamond,3236,"B018K251JE,B00VILQKQ8","It's small but boy is it LOUD. I love it, for the size and convince of it. Goes great on top shelves and fills the room nicely. Really great!"
2,Sanus VLF410B1 10-Inch Super Slim Full-Motion Mount for 37 - 84 Inches TV's,6839,B00C78VIUE,"This was the most flush to the wall full motion mount. So nice to move it around to access the wires etc. Bolts were a little long or too short that came with the kit for my 55"" Samsung (2015 model), so I had to cut the longest set with hack saw. One thing to mention make sure you have a recessed outlet so that the mount can be all the way against the wall. Those are about $9 and easy to install."
3,Ultimate Ears MEGABLAST Portable Wi-Fi/Bluetooth Speaker with hands-free Amazon Alexa voice control (waterproof) - Graphite Black,8589,B075WKS4D8,Excellent product for college student and high school kids
4,Flipside 300 Backpack (Black),3404,B000YA33DC,"Pros:It has very good padding on all the sides, enough space for 1 camera and 3-4 lenses and speedlite flash and a pouch for accessories. I'm happy with its features. Cons:1. It doens't have space for laptop2. Straps are extendable so they are long, wish it had holders where the extra strap line can be secured."
5,Corsair CMSA8GX3M2A1066C7 Apple 8 GB Dual Channel Kit DDR3 1066 (PC3 8500) 204-Pin DDR3 Laptop SO-DIMM Memory 1.5V,4042,B00505EZYW,"The RAM works just as it should. When installed correctly, it starts working at the moment of startup. Very helpful in general multitasking and especially in video and image editing. This product was very helpful in making my computer run more efficiently."
6,iHome Rechargeable Splash Proof Stereo Bluetooth Speaker - Black (IBT33BC),3448,B00WBS31OQ,The bass will make it keep moving so that it will eventually keep falling off whatever you set it on. Plus when it falls the side will pop off and eventually break so that they won't stay on making it so the water can get inside.
7,Verizon MiFi 6620L Jetpack 4G LTE Mobile Hotspot (Verizon Wireless),2333,"B0172DS3ME,B00NTJKAXG","I was surprised at how well my new MiFi 6620L works. It easily reaches 25 Mbps and I have great signal everywhere I go (except a few spots on my train commute into Washington, D.C.).Long battery life and solid signal make it a great device for remote work and internet use.I strongly recommend the 6620L for anyone who needs a portable internet solution in addition to data sharing on a cell phone plan."
8,JVC KD-X320BTS Apple iPod and Android Digital Media Receiver with Bluetooth,7373,B00R5WGT2E,"I wasn't really sure about this product, mostly because of the Bluetooth mic and how good it would be or not be, but I'm extremely impressed with it. I like how you can adjust the sensitivity of the mic. In my opinion, this was worth the money!"
9,"JBL - 6"" x 8"" 2-Way Coaxial Car Speakers with Polypropylene Cones (Pair) - Black",2668,B00V631478,Jbl speakers have great quality and sound for my vehicle
10,Lenovo - AC Adapter for Select Lenovo Yoga Laptops - Black,503,B009AEMB6I,My other laptop charger crapped out a while ago so I had to replace it. Works like a charm.
11,SiriusXM SXEZR1V1 XM Onyx EZR Satellite Radio Receiver with Vehicle Kit,9425,B06XSGYCHC,Perfection
12,PNY Anarchy 16GB Kit (2x8GB) DDR4 2400MHz (PC4-19200) CL15 Desktop Memory (BLUE) - MD16GK2D4240015AB,8417,B012ASF1WQ,Great ram to start building my new pc
13,Slingbox M2,1613,"B01LYGPB3J,B011QHAOWO","Purchased this in hopes that someone could set it up for me to record and watch NCAA Football games overseas when I travel. I did so despite reservations that Sling no longer provides support, updates, etc. Three competent people worked with me on it (a guy who installs cable for a major cable company, an IT prof for a large office, and a guy who works does audio/visual for a production studio). We couldn't get it to work - the slingbox could not recognize a cable box from Time Warner and multiple calls to Sling's support did not solve the problem.I used to use sling for several years and even used the hopper by dish with good success. Looks like they have fallen off in their support with all the competition. It is a shame because it is a great item for expats and people who travel internationally frequently - probably just to small a market share."
14,Sony SRSHG1/BLK Hi-Res Wireless Speaker- Charcoal black,17,"B01J0BFAAO,B019Q88VAM","This is one of the better Bluetooth speakers I have ever owned Considering the retail price versus what I paid for it Or use it along with my Amazon echo And the combination of the two Couldn't be better though the speaker would work as a standalone take to the beach, or anywhere in the house. The bass boost Is excellent The clarity and Fidelity is awesome as well Since I bought this I've had no desire to own another Bluetooth speaker."
15,"Midland Weather Alert Radio, 1.0 CT",5847,B004OVE61U,"This unit is well priced, and can be a lifesaver. Think hard about getting this item."
16,Sony Mini Digital Video Cassettes - DVC - 1 Hour,6602,B007QOIP3M,They work good on my camera it's a good make
17,SRS-ZR7 Wireless Speaker,3263,B01ETTL6LE,"I will start off by saying, I am using this speaker to play music in my office. The speaker sounds great at low volumes, but tends to distort and sound a little tinny at higher volumes. If this speaker were around $!50, it would probably be a 4 or 5 star for me, but for $300, I come to expect more. Fortunately, I got it open box so got a bit of a discount. The SongPal app is terrible as well."
18,Toshiba - 3TB Internal Serial ATA III Hard Drive for Desktops,3758,B009E6J1BU,"My husband installed it and computer couldn't find it and when he did get to it, the drive kept ejecting on him. Took it back and got and got a 5TB external hard drive. So much better."
19,"Power Acoustik - Gothic Series 10"" Dual-Voice-Coil 2-Ohm Subwoofer - Black",5640,B00B7C07LC,"Speaker hit and worked very well but didn't last too long, already burned out"
20,The Rebel BT On-Ear Wireless Bluetooth Headphones (Black),3316,B01700RNIO,"Being from a Reggae based inspiration, these headphones are bass heavy, but being a bass player, I actually really like that. The rest of the sound spectrum is quite good. These are simply a great bargain if you don't mind a little extra clean bass. My only complaint is that the power indicator LED is quite dim and hard to see."
21,CRX-322 CD Receiver,723,B005YXXS4I,"My original title for this review: Extremely tiny. But does everything needed, and moreThe reviewers who complain that the product does not have Bass, Treble, and Balance controls have not read the manual, where the functions of the Option menu are detailed.A few months later, I am adding this to my review: I sure loved this little stereo, until I learned over time that the number of ordinary mass produced music CDs it can play is LESS than the number it cannot play. I have never before had a CD player that could not play ALL mass produced music CDs. More than half of the CDs I try, it makes several attempts to read them, then says Unknown disc and stops. The same CDs work in every other player I have."
22,"DreamWave - Tremor Portable Bluetooth Speaker - Green,Black",4820,B00U0VEGRM,The best I have bought has a good sound I listen all day and I hold the battery well
